path,en,it
root/2/searching_for_llhor_content/1/quest_in_progress/2,I tell them I'm still working on it.,Gli dico che ci sto ancora lavorando.
root/2/searching_for_llhor_content/1/quest_complete/6,"<<""We don’t know what you said to her, Glider. But we are grateful that you said it.”>>","<<""Non sappiamo cosa le hai detto, Glider. Ma siamo grati che gliel'abbia detto."">>"
root/2/searching_for_llhor_content/1/quest_complete/8,<<”Llhor has returned with a renewed passion. And we credit you.”>>,"<<""Llhor è tornata con rinnovata passione. E il merito è tuo."">>"
root/2/searching_for_llhor_content/1/quest_complete/10,"<<”So thank you, Glider. And be safe.”>>","<<""Quindi grazie, Glider. E mettiti al sicuro."">>"
root/2/searching_for_llhor_content/1/first_clue/0/2,Do you know where Llhor is?,Sai dove si trovi Llhor?
root/2/searching_for_llhor_content/1/first_clue/0/9/c-0/8,"<<""Ah! You're looking for Llhor? Love her, she's great. Think last I heard she was on her way to the Sodics. Big place. Good place to empty the ol' thought-bucket."">>","<<""Ah! Cerchi Llhor? La adoro, è fantastica. Mi pare che l'ultima volta fosse diretta verso i Sodici. Posto grande. Buon posto per svuotare il vecchio secchio dei pensieri."">>"
root/2/searching_for_llhor_content/1/first_clue/0/9/c-0/11,I thank her for the help.,La ringrazio per l'aiuto.
root/2/searching_for_llhor_content/1/second_clue/0/2,Do you know where Llhor is?,Sai dove si trovi Llhor?
root/2/searching_for_llhor_content/1/second_clue/0/9/c-0/8,"<<""Can't tell you where she is right now, but when I saw her, she was looking for the Sleeping Singers. They're a set of stone whales, can't miss them."">>","<<""Non posso dirti dove sia adesso, ma quando l'ho vista cercava i Cantori Dormienti. Sono delle balene di pietra, impossibile non vederle."">>"
root/2/searching_for_llhor_content/1/third_clue/0/2,Do you know where Llhor is?,Sai dove si trovi Llhor?
root/2/searching_for_llhor_content/1/third_clue/0/9/c-0/8,"<<""Llhor? Haven't seen her in <i>ages</i>. Like, actual years. I think at the time she was following the path of the Archer."">>","<<""Llhor? Non la vedo da <i>secoli</i>. Cioè, anni veri. Mi pare che all'epoca seguisse la via dell'Arciere."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/0,"If I had any doubts that I would recognize the fabled Llhor, they vanished at the sight of her mask.","Se avevo dei dubbi sul fatto di riconoscere la mitica Llhor, sono svaniti alla vista della sua maschera."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/2,A face turns.,Un volto si volta.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/5,"<<""You're looking for me, aren't you?"">>","<<""Mi stai cercando, vero?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/9,The Atomic Priesthood is looking for you.,Il Sacerdozio Atomico ti sta cercando.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/15,I'd like to meet you. I'm a fan.,Volevo conoscerti. Sono una fan.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/21,Just a fellow traveller.,Solo una compagna di viaggio.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/c-0/2,I tell Llhor that I'm here on behalf of the Atomic Priesthood.,Dico a Llhor che sono qui per conto del Sacerdozio Atomico.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/c-0/5,"<<""I see then, Glider, you've come here,<br>to carry me away.<br>To end my walk,<br>to make me talk,<br>'bout how I've gone astray."">>","<<""Vedo allora, Glider, sei venuta qui,<br>a portarmi via.<br>A fermare il mio cammino,<br>farmi parlare,<br>di come mi sono smarrita."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/c-1/3,"<<""I have a fan? The poet asked. Well, that's good news at least.<br>Yet in your eye,<br>I see the lie.<br>You're asking for the Priest."">>","<<""Ho un'ammiratrice? chiese la poetessa. Beh, almeno una buona notizia.<br>Ma nel tuo occhio,<br>vedo la menzogna.<br>Stai chiedendo per il Sacerdote."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/c-2/3,"<<""I wish I could believe you, but,<br>I'm something of a sleuth.<br>The Priesthood's ask,<br>is the Glider's task.<br>Why don't you tell the truth?"">>","<<""Vorrei poterti credere, ma<br>ho un certo fiuto.<br>La richiesta del Sacerdozio<br>è il compito della Glider.<br>Perché non dici la verità?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/0,"I'm not sure what to say next, and certainly not <i>in rhyme</i>, so I give a sort of playful shrug.","Non so cosa dire dopo, e certamente non <i>in rima</i>, quindi faccio una specie di spallucce scherzose."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/3,"Llhor shakes her head and looks to the skies, her mask shifting away.","Llhor scuote la testa e guarda i cieli, la maschera si sposta di lato."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/5,"<<""I know why the Priesthood wants me."">>","<<""So perché il Sacerdozio mi vuole."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/7,"<<""Truth be told, I miss them as well."">>","<<""A dirla tutta, mi mancano anche."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/9,"I wait for the next verse, but apparently this is just talking.","Aspetto il prossimo verso, ma a quanto pare questo è solo parlare."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/13,What do you do for them?,Cosa fai per loro?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/19,Why did you leave Eccria?,Perché hai lasciato Eccria?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/23/c-3/3,"<<""I am a wand'ring fabulist, the poet's life my choice.<br>The Priests ask me,<br>to spread safety,<br>and give their knowledge voice."">>","<<""Sono una favolatrice errante, vita di poeta è la mia scelta.<br>I Sacerdoti mi chiedono<br>di spargere sicurezza,<br>e dare voce alla loro saggezza."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/23/c-3/5,She sighs.,Sospira.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/23/c-4/3,"<<""The city's great, I love it so, but something troubles me.<br>I've grown so fond,<br>of the world beyond.<br>There's so much more to see."">>","<<""La città è grande, l'amo così, ma qualcosa mi turba.<br>Mi sono affezionata<br>al mondo oltre i suoi confini.<br>C'è molto di più da vedere."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-0/23/c-4/5,She shrugs.,Fa spallucce.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-1/2,Good rhymes. Nice.,Belle rime. Niente male.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-1/8,"Will you return, then?","Tornerai, allora?"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-1/12/c-5/2,I tell Llhor I like her rhymes.,Dico a Llhor che mi piacciono le sue rime.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-1/12/c-5/5,She thanks me with a little bow.,Mi ringrazia con un piccolo inchino.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-1/12/c-6/2,"I ask Llhor if she's going to go home, then.","Chiedo a Llhor se tornerà a casa, allora."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/1,"<<""The Priests give me a good life. I spread their word, they treat me like a queen. But... there's still something wrong. I'm at an impasse."">>","<<""I Sacerdoti mi danno una bella vita. Spargo la loro parola, mi trattano come una regina. Ma... c'è ancora qualcosa che non va. Sono a un punto morto."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/3,I ask what kind and she doesn't answer.,Chiedo di che tipo e non risponde.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/5,"<<""What is your name?"">>","<<""Come ti chiami?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/7,I tell her it's Sable.,Le dico che mi chiamo Sable.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/9,"<<""Sable, as a Glider... You might have a particular insight into what I am seeking."">>","<<""Sable, come Glider... potresti avere una particolare visione di ciò che cerco."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/12,"<<""For what I desire is to choose a path, and you are very much on the same journey. Do you think you could help me?"">>","<<""Perché ciò che desidero è scegliere una via, e tu sei più o meno nello stesso viaggio. Credi di potermi aiutare?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/14,"I tell her yes, but it's absolutely a secret 'maybe', bordering on a 'doubtful'.","Le dico di sì, ma è un assoluto 'forse' segreto, al limite del 'ne dubito'."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/16,"<<""The Atomic Priesthood, however strange and severe, have given me a very comfortable life. I speak their truth, I spread their word and..."">>","<<""Il Sacerdozio Atomico, per quanto strano e severo, mi ha dato una vita molto confortevole. Parlo la loro verità, spargo la loro parola e..."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/19,"<<""Well, frankly, I stop them being so bloody <i>boring</i> all the time."">>","<<""Beh, francamente, evito che siano sempre così dannatamente <i>noiosi</i>."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/21,She crosses her arms.,Incrocia le braccia.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/23,"<<""For that, they treat me wonderfully. I get anything I want, so long as I use my gifts to convey their message."">>","<<""Per questo mi trattano meravigliosamente. Ottengo qualsiasi cosa voglia, purché usi i miei doni per trasmettere il loro messaggio."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/27,Sounds great.,Sembra fantastico.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/33,Sounds stifling.,Sembra soffocante.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/37/c-7/2,"<<""It does! It does, it does, it does."">>","<<""È vero! È vero, è vero, è vero."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/37/c-7/5,"<<""But it also means that I don't get to speak of much else. And it makes me wonder what else I could do. Could I be more peculiar? Or more fun? Funny, even?"">>","<<""Ma vuol dire anche che non posso parlare di molto altro. E mi chiedo cos'altro potrei fare. Potrei essere più stravagante? O più divertente? Buffa, persino?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/37/c-8/2,"<<""It does! It does, it does, it does."">>","<<""È vero! È vero, è vero, è vero."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-2/37/c-8/5,"<<""But it also means that I get to live a charmed life, and certainly more charmed than most who make their living telling stories and singing songs. It's wonderful, really."">>","<<""Ma vuol dire anche che vivo una vita incantata, certamente più incantata di chi si guadagna da vivere raccontando storie e cantando. È meraviglioso, davvero."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-3/0,"<<""So now I wonder: Should I return to Eccria?"">>","<<""Quindi ora mi chiedo: dovrei tornare a Eccria?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-3/4,Yes!,Sì!
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-3/10,No!,No!
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/0,Llhor dismisses me again.,Llhor mi liquida di nuovo.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/3,"<<""No, no, no, it isn't that <i>easy</i>, Sable! Don't you see?"">>","<<""No, no, no, non è così <i>facile</i>, Sable! Non capisci?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/5,"<<""I've spent these weeks wandering the vastness of the desert, travelling through towns and encampments, through ruins and wonders... asking myself questions."">>","<<""Ho passato queste settimane errando nella vastità del deserto, attraversando città e accampamenti, rovine e meraviglie... ponendomi domande."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/8,"<<""And I've narrowed it down to the three most significant questions, for which I have no answers. Perhaps if you can help me..."">>","<<""E le ho ristrette alle tre domande più significative, per le quali non ho risposte. Forse se puoi aiutarmi..."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/10,"I tell her yes, sure, of course, please.","Le dico sì, certo, ovviamente, prego."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/13,"<<""Thank you. You have a Glider's wisdom."">>","<<""Grazie. Hai la saggezza di una Glider."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/15,Llhor draws me closer and I look deep into the eyes of her mask.,Llhor mi attira più vicino e guardo profondamente negli occhi della sua maschera.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/18,"<<""Sable. Glider. What is the value of art? Is it spreading truth, or is it spreading joy?"">>","<<""Sable. Glider. Qual è il valore dell'arte? Diffondere verità, o diffondere gioia?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/20,It's quite a start. I tell her that the value of art is...,È un bell'inizio. Le dico che il valore dell'arte è...
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/24,Truth?,Verità?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/30,Joy?,Gioia?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/34/c-11/2,I say it's the truth and Llhor nods vigorously.,Dico che è la verità e Llhor annuisce con vigore.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/34/c-11/5,"<<""A fabulist in coarser words is one who peddles lies.<br>But I have found,<br>a way around.<br>Giving warning to the wise."">>","<<""Una favolatrice in parole rozze è chi spaccia menzogne.<br>Ma io ho trovato<br>una via di mezzo.<br>Dare avvertimenti ai saggi."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/34/c-12/2,I tell her it's joy and she nods vigorously.,Le dico che è gioia e annuisce con vigore.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-4/34/c-12/5,"<<""If all we get is just one life, to live a little while.<br>Then it would seem,<br>a noble dream,<br>to give the world a smile."">>","<<""Se tutto ciò che otteniamo è una sola vita da vivere per un po',<br>allora sembrerebbe<br>un nobile sogno,<br>regalare al mondo un sorriso."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/0,"<<""Fascinating, Sable. Really helpful."">>","<<""Affascinante, Sable. Davvero utile."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/2,Was it?,Lo è stato?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/5,"<<""Next question. When you are faced with a challenge. How do you approach it? Do you value caution or safety?"">>","<<""Prossima domanda. Davanti a una sfida, come l'affronti? Dai più valore alla cautela o alla sicurezza?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/7,"Well, what I am definitely not going to say is that I thought they were much the same thing. Instead...","Beh, ciò che di certo non dirò è che le credevo praticamente la stessa cosa. Invece..."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/11,Caution.,Cautela.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/17,Safety.,Sicurezza.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-13/2,I tell her I think that caution is more important than safety.,Le dico che credo che la cautela sia più importante della sicurezza.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-13/5,"<<""Caution! Interesting. And you didn't even have to think. Perfect."">>","<<""Cautela! Interessante. E non hai neanche dovuto pensarci. Perfetto."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-13/7,Llhor clears her throat.,Llhor si schiarisce la voce.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-13/10,"<<""When I first left my home and was bound for the sand,<br>I knew not what I'd find as I walked this great land.<br>But I knew that in going, I'd risk soul and skin,<br>so I wore caution out, and lit fire within."">>","<<""Quando lasciai casa mia, diretta alle sabbie,<br>non sapevo cosa avrei trovato in queste terre vaste.<br>Ma sapevo che andando, rischiavo anima e pelle,<br>quindi indossai cautela fuori, e accesi il fuoco dentro."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-14/2,I tell her I think that safety is more important than caution.,Le dico che credo che la sicurezza sia più importante della cautela.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-14/5,"<<""Safety! Fascinating. And you answered so quickly."">>","<<""Sicurezza! Affascinante. E hai risposto così rapidamente."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-14/7,Llhor clears her throat.,Llhor si schiarisce la voce.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-5/21/c-14/10,"<<""When I first left the calling, I felt I was lost.<br>That I had to go elsewhere, whatever the cost.<br>So far out now, I wonder what I hoped to find.<br>For this piece of myself, did I lose peace of mind?"">>","<<""Quando lasciai la vocazione, mi sentivo persa.<br>Dovevo andare altrove, a qualsiasi costo.<br>Così lontana ora, mi chiedo cosa speravo di trovare.<br>Per questo pezzo di me, ho perso la pace della mente?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-6/2,"New rhyme scheme there, I like it.","Nuovo schema di rime, mi piace."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-6/8,What's the last question?,Qual è l'ultima domanda?
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-6/12/c-15/2,Llhor nods.,Llhor annuisce.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-6/12/c-15/4,"<<""Versatility."">>","<<""Versatilità."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/0,"<<""You've been so helpful, Sable. Thank you. The last question is probably an easy one for you, still in your Gliding."">>","<<""Mi sei stata d'aiuto, Sable. Grazie. L'ultima domanda è probabilmente facile per te, ancora in Volo."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/3,"<<""Why do we explore? What drives us? Are we seeking our purpose? Or are we indulging in our freedom?"">>","<<""Perché esploriamo? Cosa ci spinge? Cerchiamo il nostro scopo? O ci concediamo la nostra libertà?"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/5,"To be fair to Llhor, this one gives me pause.","Per essere giusti con Llhor, questa mi fa fermare."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/7,"It's danced around my thoughts now and again, but not in so many words. I wonder, is my purpose as a Glider to see all places? Or is it to find <i>my</i> place?","Mi è girata in mente di tanto in tanto, ma non con queste parole. Mi chiedo, il mio scopo come Glider è vedere tutti i luoghi? O trovare il <i>mio</i> posto?"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/9,I think on it and offer an answer. The purpose of such exploration is...,Ci penso e offro una risposta. Lo scopo di questa esplorazione è...
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/13,To find your purpose.,Trovare il proprio scopo.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/19,To indulge your freedom.,Concedersi la libertà.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-17/2,I tell Llhor that the point is to find our purpose.,Dico a Llhor che il punto è trovare il nostro scopo.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-17/4,"<<""Fascinating. We are such strange creatures..."">>","<<""Affascinante. Siamo creature così strane..."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-17/6,She breathes in.,Inspira.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-17/9,"<<""In all of us, there is a flower. The answer to our need.<br>But we can't wait,<br>so we contemplate,<br>the myst'ry of the seed."">>","<<""In ognuna di noi c'è un fiore. La risposta al nostro bisogno.<br>Ma non possiamo aspettare,<br>quindi contempliamo<br>il mistero del seme."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-18/2,I tell Llhor that the point is to indulge our freedom.,Dico a Llhor che il punto è concedersi la libertà.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-18/4,"<<""Fascinating."">>","<<""Affascinante."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-18/6,She breathes in.,Inspira.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-7/23/c-18/9,"<<""Our hearts are such impatient things.They hate to be told 'no'.<br>So we seek out time,<br>while we're in our prime.<br>But it's <i>space</i> we need to grow."">>","<<""I nostri cuori sono cose così impazienti. Odiano sentirsi dire 'no'.<br>Quindi cerchiamo tempo,<br>nel fiore degli anni.<br>Ma è <i>spazio</i> che ci serve per crescere."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/0,Llhor pauses after this last.,Llhor si ferma dopo questo ultimo.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/2,"I hear the wind blow past, and then suddenly, she claps.","Sento il vento passare, e poi all'improvviso lei batte le mani."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/5,"<<""Well. That settles it!"">>","<<""Bene. È deciso!"">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/7,"<<""I think I've made up my mind. But I'll need another night or so to think on it."">>","<<""Credo di aver deciso. Ma mi servirà un'altra notte o due per pensarci."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/9,I ask Llhor if she's going back to Eccria or not and she laughs. I find myself liking her laugh quite a lot.,Chiedo a Llhor se tornerà a Eccria o no e ride. Mi accorgo che la sua risata mi piace parecchio.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/12,"<<""I'll find out tomorrow."">>","<<""Lo scoprirò domani."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/15,"<<""Thank you, Sable, for listening. You've been a very generous collaborator today, and I feel quite refreshed."">>","<<""Grazie, Sable, di avermi ascoltata. Sei stata una collaboratrice molto generosa oggi, e mi sento piuttosto rinfrescata."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/18,"<<""Take this badge - a token of your contribution."">>","<<""Prendi questo distintivo — un segno del tuo contributo."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/20,She sits up straight.,Si raddrizza.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/22,"<<""A Glider named Sable, the Fabulist Llhor,<br>shared something today on the sands.<br>I put faith in her judgment, all trust in her brain,<br>and my fate in her capable hands."">>","<<""Una Glider di nome Sable, la Favolatrice Llhor,<br>oggi sulle sabbie hanno condiviso qualcosa.<br>Ho fiducia nel suo giudizio, fiducia nella sua mente,<br>e il mio destino nelle sue mani capaci."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/24,Llhor bows and I must admit... I feel quite nice having heard that.,Llhor s'inchina e devo ammetterlo... mi sento piuttosto bene dopo averlo sentito.
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/26,"<<""Thank you, Sable. I know we'll meet again."">>","<<""Grazie, Sable. So che ci incontreremo di nuovo."">>"
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/28,"I wish Llhor the best, and then tell her goodbye.<br>I don't know if I helped, but I gave it a try.","Auguro il meglio a Llhor, e poi la saluto.<br>Non so se ho aiutato, ma ci ho provato."
root/2/searching_for_llhor_content/1/llhor_main_encounter/0/25/g-8/30,"Oh no, she's got me doing it.","Oh no, mi ha contagiata."
root/2/searching_for_llhor_quest_definition/1,Searching For Llhor,In Cerca di Llhor
root/2/searching_for_llhor_quest_definition/4,"quest_giver, hercules_beetle, parasite_beetle, slicer_beetle, llhors_camp",
root/2/searching_for_llhor_quest_definition/7/6/b/1,inactive,
root/2/searching_for_llhor_quest_definition/8/6/b/1,active,
root/2/searching_for_llhor_quest_definition/9/1/b/1,completed,
root/2/searching_for_llhor_quest_definition/16/1/b/3,"Shar Varana in Eccria wanted me to track down Llhor, the legendary fabulist. They said I should ask the innkeepers at the beetle stations if they know anything about Llhor's whereabouts.","Shar Varana a Eccria voleva che rintracciassi Llhor, la leggendaria favolatrice. Mi ha detto di chiedere ai locandieri delle stazioni degli scarabei se sanno qualcosa su dove si trovi Llhor."
root/2/searching_for_llhor_quest_definition/23/1/b/3,"Ifaa at Burnt Oak Station said Llhor was searching for 'somewhere desolate, somewhere vast'. She suggested the Sodic Wastes.","Ifaa alla Burnt Oak Station ha detto che Llhor cercava 'un posto desolato, un posto vasto'. Ha suggerito il Sodic Waste."
root/2/searching_for_llhor_quest_definition/30/1/b/3,"Ofuu at Marrow Bone Station told me to look for the Sleeping Singers, a set of stone whales.","Ofuu alla Marrow Bone Station mi ha detto di cercare i Cantori Dormienti, delle balene di pietra."
root/2/searching_for_llhor_quest_definition/37/1/b/3,Afii at Seven Sisters Station said Llhor had been seeking to follow the path of the Archer.,Afii alla Stazione Sette Sorelle ha detto che Llhor cercava di seguire la via dell'Arciere.
root/2/searching_for_llhor_quest_definition/45/1/b/6/1/b/4,Ask about Llhor at Burnt Oak Station.,Chiedi di Llhor alla Burnt Oak Station.
root/2/searching_for_llhor_quest_definition/45/1/b/14/1/b/4,Ask about Llhor at Marrow Bone Station.,Chiedi di Llhor alla Marrow Bone Station.
root/2/searching_for_llhor_quest_definition/45/1/b/22/1/b/4,Ask about Llhor at Seven Sisters Station.,Chiedi di Llhor alla Stazione Sette Sorelle.
root/2/searching_for_llhor_quest_definition/53/1/b/3,Find Llhor.,Trova Llhor.
root/2/searching_for_llhor_quest_definition/61/1/b/4,I found Llhor camping out in the Salt Plains. I should go and tell her she's wanted in Eccria.,Ho trovato Llhor accampata nelle Saline. Dovrei andare a dirle che la vogliono a Eccria.
root/2/searching_for_llhor_quest_definition/68/1/b/3,"After spending the evening at Llhor's camp, I convinced her to return to Eccria.","Dopo aver passato la sera al campo di Llhor, l'ho convinta a tornare a Eccria."
root/2/searching_for_llhor_quest_definition/71/6/b/4,I should speak to Shar Varana now that Llhor has returned.,Dovrei parlare con Shar Varana ora che Llhor è tornata.
root/2/searching_for_llhor_quest_definition/72/5/b/3,Shar Varana was very grateful for my help in convincing Llhor.,Shar Varana è stato molto grato per il mio aiuto nel convincere Llhor.
root/2/num_glowworms/1/1/b/3,Glowworm,Verme Luminoso
root/2/nozis_nibbles_content/1/investigation/0/8,Do you know where I can find some glowworms?,Sai dove posso trovare dei vermi luminosi?
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/7,"<<""Yes, yes, absolutely I do! There's a cave far to the south of here, just packed with the sinister little creeps."">>","<<""Sì, sì, certo che lo so! C'è una grotta molto a sud di qui, piena zeppa di quei piccoli sinistri viscidi."">>"
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/9,Sinister little creeps.,Sinistri piccoli viscidi.
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/11,"<<""I hate them. They're just... ugh, awful! But unfortunately, they're of use sometimes, so I've become quite practised at catching them."">>","<<""Li odio. Sono... ugh, orribili! Ma purtroppo a volte tornano utili, quindi mi sono fatta piuttosto pratica a catturarli."">>"
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/13,I ask if she might be able to help and the response is a shudder.,Le chiedo se potrebbe aiutare e la risposta è un brivido.
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/15,"<<""Absolutely not. But I can advise: you'll need to get them down from where they nest on the roof of the cave. To do that, look for sulfurous rocks lying around nearby. Do you want to write this down?"">>","<<""Assolutamente no. Ma posso consigliare: devi farli scendere da dove si annidano sul soffitto della grotta. Per farlo, cerca rocce sulfuree in giro lì vicino. Vuoi prendere appunti?"">>"
root/2/nozis_nibbles_content/1/investigation/0/15/c-0/5/1/b/17,I tell her I'm taking mental notes.,Le dico che sto prendendo appunti mentali.
