Name,Category,Rarity,Name_EN,Description_EN,ShopDescription_EN
AtomicHeartSuspectHamza,Quest,Rare,SUSPECT: Machinist Hamza,"The town Machinist, Hamza. He is most often found in his workshop beneath the two wind catcher structures in Eccria. His workshop appeared ramsacked when I first visited.",
CartographersBadge,Badge,Rare,Cartographer's Badge,"A badge traded by Cartographers, it's often quite a journey to get to them but the views are incredible and they are always worth speaking to about the local area.",
StepwellDragonfly,General,Common,Stepwell Dragonfly,"Often found sat cooling on stepwell lillypads, these dragonflies seem to struggle outside of the unique climate of a stillwater well environment.",
ChumTop,Clothing,Rare,Chum Top,A top gifted to me by the Chum Queen for finding all her Chum Eggs. Designed in a way I've never seen other clothes made. I wonder who made it?,
ChumBottoms,Clothing,Rare,Chum Skirt,"A skirt gifted to me by the Chum Queen for finding all her Chum Eggs. Who made it? It is light as a feather, and dazzles onlookers when worn.",
ShadeSetTop,Clothing,Rare,Shade Top,"A tight fitting top that belonged to the original Shade of Eccria. It has a fabric material under the arms used to create a unique, imposing silhouette.",
ShadeSetTrousers,Clothing,Rare,Shade Trousers,"Trousers worn by the Shade of Eccria, before I was even born. They are especially quiet, great for sneaking up on unsuspecting guards.",
ShadeOfEccriaFront,BikePart,Rare,Shade Bike Front,"An old bike front with a unique design, created many moons ago in Eccria. It gives me the creeps if I look at it too long.",
ShadeOfEccriaWings,BikePart,Rare,Shade Bike Wings,"Small wings jut from the side of the bike, functionally useless.",
ShadeOfEccriaBooster,BikePart,Rare,Shade Bike Booster,"A rotating mechanism at the back of the bike built to look much like an eye, a reminder to those watching the bike from behind that the Shade sees all.",
AnglerBadge,Badge,Rare,Angler Badge,It's a badge from the Angler.,
FlutterThrust,Fishing,Common,Flutter Thrust,"Found in the Fingers, these delicate creatures avoid predators by blending their fins into the striations of nearby rocks.",
DopeyDart,Fishing,Common,Dopey Dart,"Found across Sansee, these goofy looking fish are extremely quick but remarkably unintelligent. A bland but nutritious offering on plates across Midden.",
ShelledCup,Fishing,Common,Shelled Cup,Nobody knows how these fish survive in the harsh salted landscape of the Sodic Waste but without them a delicate ecosystem that sustains creatures like Pink Necks would be disrupted.,
Hummer,Fishing,Common,Hummer,A bird-like fish that often surfaces from below sands to consume food in it’s natural habitat of Palm Forests. They move with erratic and incredible speed.,
SuckerFish,Fishing,Common,Sucker Fish,"The long mouth of these creatures means they inhale a significant amount of sand, which is then filtered for insects and other nutrients before being spat back out with force that will deter predators.",
GhostSoul,Fishing,Common,Ghost Soul,"These ethereal creatures are impossible to see in some light, and only seem to appear near the corpses of dead creatures, leading people to believe they are somehow connected to the afterlife.",
FlutterThrustClue,Quest,Common,Flutter Thrust Clue,"In the heart of Midden, below pillars of rock.",A clue on how to catch a specific fish.
DopeyDartClue,Quest,Common,Dopey Dart Clue,Extremely common in the Sansees.,A clue on how to catch a specific fish.
ShelledCupClue,Quest,Common,Shelled Cup Clue,Seems this creature feeds on Salt.,A clue on how to catch a specific fish.
HummerClue,Quest,Common,Hummer Clue,These fish seek green areas with trees and foliage.,A clue on how to catch a specific fish.
SuckerFishClue,Quest,Common,Sucker Fish Clue,Seek the shade of large rock arches in Redsee.,A clue on how to catch a specific fish.
GhostSoulClue,Quest,Common,Ghost Soul Clue,Seek the souls of old bones.,A clue on how to catch a specific fish.
StormFishClue,Quest,Common,Storm Fish Clue,A tricky catch that rides in the crests of crimson sands.,A clue on how to catch a specific fish.
BellowGuppyClue,Quest,Common,Bellow Guppy Clue,"Common in the sands of Midden. Hard to miss.
",A clue on how to catch a specific fish.
PillFishClue,Quest,Common,Pill Fish Clue,Persistence will pay off when fishing in areas full of cacti.,A clue on how to catch a specific fish.
LittleKickerClue,Quest,Common,Little Kicker Clue,A common find in pink coloured dunes.,A clue on how to catch a specific fish.
SandRayClue,Quest,Common,Sand Ray Clue,"In Redsee, these fish seek the deeper parts of the sands.",A clue on how to catch a specific fish.
TeacupAnglerClue,Quest,Common,Teacup Angler Clue,"Rumour is these creatures feed on gaseous substances.
",A clue on how to catch a specific fish.
ScabbyFishClue,Quest,Common,Scabby Fish Clue,A common find in the sand paths between towering cliffs.,A clue on how to catch a specific fish.
TrifleJellyClue,Quest,Common,Trifle Jelly Clue,Likes pale mounds of chalk.,A clue on how to catch a specific fish.
LightKoiClue,Quest,Common,Light Koi Clue,"A rare find, these will often feed on shrubbery in the Badlands.",A clue on how to catch a specific fish.
BloatedEyeClamClue,Quest,Common,Bloated Eye Clam Clue,A parasitic tree killer.,A clue on how to catch a specific fish.
PebbleEyeClue,Quest,Common,Pebble Eye Clue,"A common fish that seeks shade in the Eastern Dunes.
",A clue on how to catch a specific fish.
DragonflyBikeFront,BikePart,Rare,Dragonfly Bike Front,An unusual bike part modelled to look like a dragonfly.,
DragonflyBikeWings,BikePart,Rare,Dragonfly Bike Wings,"Wings modelled after a dragonfly, they seem to intimidate anyone who sees them.",
DragonflyBikeBooster,BikePart,Rare,Dragonfly Bike Engine,"A long tail with a streamlined, ergonomic form based on a Dragonfly.",
CartoBikeFront,BikePart,Rare,Cartographer Bike Front,"Created from materials salvaged from Cartographer balloons, the front of this bike is extermely lightweight.",
CartoBikeWings,BikePart,Rare,Cartographer Bike Wings,A cross-like fin below the wings skims the sand below the bike.,
CartoBikeBooster,BikePart,Rare,Cartographer Bike Engine,"Cartographers don't tend to use hoverbikes, so the technology used in this novel and impractical design is somewhat unusual.",
SaltBikeFront,BikePart,Rare,Salt Bike Front,A hefty bike module used to counter balance the other industrial components of bikes used by salt famers.,
SaltBikeWings,BikePart,Rare,Salt Bike Wings,"Heavy wings, used by salt farmers in the Sodic Waste. Gives bikes a heavy weighting.",
SaltBikeBooster,BikePart,Rare,Salt Bike Engine,The large wheel on the back of this bike is used in the processing of salt gathered from salt pools.,
AnglerBikeFront,BikePart,Rare,Angler Bike Front,"Designed to store fishing gear or larger catches, the frontage of this bike also cuts through wind in such a way that the bike produces as little noise as possible.",
AnglerBikeWings,BikePart,Rare,Angler Bike Wings,Metal protrusions used for hanging fish when Anglers navigate the dunes of Midden.,
AnglerBikeBooster,BikePart,Rare,Angler Bike Engine,A sleek and elegant layered booster that is quiet so as not to disturb fish beneath the sands.,
ScrapperBikeFront,BikePart,Rare,Scrapper Bike Front,A piece of scrap metal hangs below this module to create a deceptively well weighted ride.,
ScrapperBikeWings,BikePart,Rare,Scrapper Bike Wings,Heavy metallic wings tuck away when boosting to create an aerodynamic form.,
ScrapperBikeBooster,BikePart,Rare,Scrapper Bike Engine,"Crafted from scraps salvaged from old ships, the wings on the back of this booster flatten to keep the back of the bike balanced.",
DragonFlySetTop,Clothing,Rare,Butterfly Top,A flamboyant top with wings that flutter when I jump.,
DragonFlySetTrousers,Clothing,Rare,Butterfly Trousers,Colourful clothing that feels great to wear.,
ScrapperSetTop,Clothing,Rare,Scrapper Top,"Top worn by expert scrappers, with convenient gear for collecting scrap and exploring the abandoned ships of Midden.",
ScrapperSetTrousers,Clothing,Rare,Scrapper Bottoms,Bottoms designed with ship exploring in mind.,
DragonFlyPalette,General,Rare,Dragonfly Bike Dye,The dye bottle for the colours of the Dragonfly Bike.,
ExtractorPalette,General,Rare,Salt Extractor Bike Dye,The dye bottle for the colours of the Salt Extractor Bike.,
ScrapperPalette,General,Rare,Scrapper Bike Dye,The dye bottle for the colours of the Scrapper Bike.,
CartographerPalette,General,Rare,Cartographer Bike Dye,The dye bottle for the colours of the Cartographer Bike.,
